neighborhood_id,neighborhood_name,month,year,month_num,population,pct_black,pct_white,pct_hispanic,total_housing_units,census_vacancy_rate,census_vacant_units,active_vacancy_count,avg_condition_rating,condemned_count,total_violation_count,violations_per_vacancy,transit_stop_count,transit_trip_count,transit_route_count,transit_trips_per_1000pop,csb_complaint_count,csb_vacant_bldg_complaints,csb_avg_resolution_days,complaints_per_1000pop,city_monthly_crime,est_monthly_crime_count,neigh_total_crime_snapshot,firearm_incidents_snapshot,crime_rate_per_1000pop,firearm_rate_per_1000pop
50,Wells Goodfellow,2021-01,2021,1,4473,94.68,1.48,0.96,2589,33.6,869,384,3.42,17,2076,5.41,44,4121,5,921.31,1038,0,31.0,232.06,4,0.11,163,81,36.44,18.11
64,Near North Riverfront,2021-01,2021,1,395,50.63,42.53,3.8,95,15.8,15,21,3.67,0,87,4.14,27,2967,2,7511.39,742,0,24.4,1878.48,4,0.04,52,12,131.65,30.38
24,Fox Park,2021-01,2021,1,2545,48.88,41.41,4.83,1393,19.7,274,70,3.53,0,284,4.06,5,545,2,214.15,1913,81,20.0,751.67,4,0.02,35,3,13.75,1.18
51,Academy,2021-01,2021,1,2355,87.26,4.97,2.29,1276,29.6,378,268,3.46,8,1595,5.95,25,2086,5,885.77,1017,0,19.2,431.85,4,0.04,62,16,26.33,6.79
31,The Gate District,2021-01,2021,1,3419,72.48,19.22,2.98,1761,10.1,178,47,3.74,1,152,3.23,14,1606,3,469.73,1736,0,31.2,507.75,4,0.03,41,7,11.99,2.05
56,Greater Ville,2021-01,2021,1,4545,95.16,1.34,1.08,3093,36.3,1123,394,3.72,0,1487,3.77,48,3051,5,671.29,878,0,40.2,193.18,4,0.1,131,65,28.82,14.3
09,Lindenwood Park,2021-01,2021,1,9387,6.29,83.1,4.4,5218,7.2,378,77,4.22,0,148,1.92,45,5103,9,543.62,3619,0,25.3,385.53,4,0.05,76,4,8.1,0.43
47,DeBaliviere Place,2021-01,2021,1,3651,24.95,55.05,5.01,2835,14.6,413,62,3.77,2,204,3.29,18,2248,8,615.72,1094,0,17.1,299.64,4,0.04,55,6,15.06,1.64
58,Vandeventer,2021-01,2021,1,2041,88.93,4.8,1.86,1130,14.5,164,124,3.65,0,599,4.83,32,2339,4,1146.01,804,31,22.6,393.92,4,0.03,38,15,18.62,7.35
40,Kings Oak,2021-01,2021,1,167,31.74,61.08,1.2,88,33.0,29,5,3.6,0,20,4.0,6,406,3,2431.14,1414,0,22.7,8467.07,4,0.01,8,1,47.9,5.99
16,Dutchtown,2021-01,2021,1,15356,50.72,26.02,12.12,7873,19.4,1529,413,3.65,19,1566,3.79,44,6254,5,407.27,2637,0,23.8,171.72,4,0.23,311,69,20.25,4.49
69,Penrose,2021-01,2021,1,5243,95.27,0.92,0.8,3117,26.3,819,413,3.2,21,2772,6.71,30,2145,5,409.12,425,0,22.2,81.06,4,0.09,108,38,20.6,7.25
60,St. Louis Place,2021-01,2021,1,2336,89.77,6.25,1.41,1313,19.6,258,107,3.18,7,672,6.28,41,3430,5,1468.32,775,0,26.5,331.76,4,0.05,71,28,30.39,11.99
39,Forest Park South East,2021-01,2021,1,3458,36.12,46.21,4.71,2437,19.2,468,150,3.68,3,524,3.49,23,1537,4,444.48,1433,0,26.5,414.4,4,0.06,88,18,25.45,5.21
43,Franz Park,2021-01,2021,1,2260,5.97,80.35,5.0,1347,7.9,107,37,3.92,1,130,3.51,4,212,1,93.81,1170,0,16.2,517.7,4,0.01,19,1,8.41,0.44
63,Old North St. Louis,2021-01,2021,1,1488,82.46,12.77,1.14,857,19.0,163,80,3.24,3,452,5.65,19,1391,2,934.81,746,0,23.5,501.34,4,0.04,61,19,40.99,12.77
26,Compton Heights,2021-01,2021,1,1396,16.55,72.64,2.51,730,6.6,48,11,4.36,1,38,3.45,2,386,1,276.5,1840,0,20.6,1318.05,4,0.0,7,3,5.01,2.15
57,The Ville,2021-01,2021,1,1427,95.94,1.68,0.28,942,33.4,315,122,3.74,1,483,3.96,21,1271,4,890.68,839,0,23.7,587.95,4,0.03,39,7,27.33,4.91
76,Walnut Park West,2021-01,2021,1,2561,95.08,0.82,0.78,1337,20.9,279,315,3.57,6,1594,5.06,16,1497,3,584.54,295,0,32.7,115.19,4,0.08,122,75,47.64,29.29
02,Patch,2021-01,2021,1,2842,29.66,55.24,8.09,1465,17.7,259,97,4.43,2,164,1.69,19,1315,3,462.7,5312,0,16.6,1869.11,4,0.06,79,10,27.8,3.52
72,Walnut Park East,2021-01,2021,1,2757,93.94,1.38,1.63,1432,22.3,320,356,3.44,12,1613,4.53,20,1490,2,540.44,379,0,15.8,137.47,4,0.07,99,53,35.91,19.22
54,Lewis Place,2021-01,2021,1,1359,84.55,11.85,1.84,725,30.9,224,125,3.66,2,648,5.18,24,1829,4,1345.84,925,0,14.4,680.65,4,0.01,19,6,13.98,4.42
19,Gravois Park,2021-01,2021,1,4683,60.69,20.65,10.87,2602,24.3,631,450,3.98,13,1163,2.58,15,1860,4,397.18,2378,0,29.6,507.79,4,0.1,152,48,32.46,10.25
67,Fairground Neighborhood,2021-01,2021,1,1157,93.69,2.77,0.86,755,33.4,252,110,3.17,6,697,6.34,28,2838,4,2452.9,565,0,21.9,488.33,4,0.03,40,13,34.57,11.24
20,Kosciusko,2021-01,2021,1,52,30.77,38.46,15.38,5,40.0,2,5,4.0,0,8,1.6,12,1033,2,19865.38,2198,0,24.2,42269.23,4,0.01,19,4,365.38,76.92
21,Soulard,2021-01,2021,1,3831,15.82,75.23,4.28,2762,16.3,449,61,4.07,1,176,2.89,24,2038,3,531.98,2102,0,19.7,548.68,4,0.06,88,4,22.97,1.04
44,Hi-Pointe,2021-01,2021,1,2151,6.32,80.2,3.49,1351,9.4,127,18,3.61,2,102,5.67,3,135,1,62.76,1169,0,27.4,543.47,4,0.01,20,3,9.3,1.39
48,West End,2021-01,2021,1,6846,71.53,10.46,7.67,3782,20.4,772,262,3.56,19,1494,5.7,36,4405,10,643.44,1049,0,26.7,153.23,4,0.08,109,26,15.92,3.8
34,LaSalle Park,2021-01,2021,1,1088,62.68,30.7,1.56,649,11.6,75,8,3.25,2,65,8.12,7,789,3,725.18,1606,0,30.8,1476.1,4,0.03,42,5,38.6,4.6
62,Columbus Square,2021-01,2021,1,1978,88.73,5.81,2.22,1049,12.9,135,14,4.07,1,31,2.21,9,638,3,322.55,749,0,24.6,378.67,4,0.03,48,23,24.27,11.63
33,Peabody Darst Webbe,2021-01,2021,1,2443,79.7,15.27,1.6,1138,12.2,139,9,4.44,0,10,1.11,5,906,4,370.86,1663,0,21.2,680.72,4,0.03,37,8,15.15,3.27
08,St. Louis Hills,2021-01,2021,1,7516,3.67,88.81,2.55,4155,6.9,285,56,4.62,0,33,0.59,18,1690,4,224.85,3660,0,14.7,486.96,4,0.03,39,1,5.19,0.13
65,Hyde Park,2021-01,2021,1,2271,84.59,9.69,1.59,1434,34.1,489,186,3.14,14,1264,6.8,18,1569,3,690.89,717,0,17.6,315.72,4,0.05,66,13,29.06,5.72
03,Holly Hills,2021-01,2021,1,3647,16.78,67.53,7.95,1873,10.4,194,30,4.53,0,32,1.07,4,772,1,211.68,4876,0,23.1,1336.99,4,0.02,34,7,9.32,1.92
17,Mount Pleasant,2021-01,2021,1,4376,46.64,36.31,10.65,2468,20.2,498,79,3.8,3,323,4.09,14,1113,2,254.34,2483,0,22.5,567.41,4,0.05,72,16,16.45,3.66
37,Midtown,2021-01,2021,1,6862,34.73,47.74,3.92,1988,14.9,297,25,4.36,0,32,1.28,37,5084,9,740.89,1482,95,16.0,215.97,4,0.07,97,17,14.14,2.48
23,McKinley Heights,2021-01,2021,1,1668,37.77,52.28,3.24,1040,17.5,182,32,4.06,0,110,3.44,6,669,2,401.08,2032,0,16.8,1218.23,4,0.01,18,2,10.79,1.2
41,Cheltenham,2021-01,2021,1,1260,8.41,65.16,5.4,1017,14.7,150,16,2.94,0,108,6.75,10,662,3,525.4,1188,0,13.5,942.86,4,0.01,19,0,15.08,0.0
25,Tower Grove East,2021-01,2021,1,5708,28.92,55.62,5.34,3226,14.1,454,107,3.95,1,302,2.82,19,2533,4,443.76,1889,0,27.6,330.94,4,0.06,79,16,13.84,2.8
06,Princeton Heights,2021-01,2021,1,7364,7.43,81.41,4.97,4046,6.7,271,70,3.96,1,205,2.93,18,2584,3,350.9,3994,0,12.6,542.37,4,0.02,30,0,4.07,0.0
07,Southampton,2021-01,2021,1,6647,8.56,82.04,4.44,3688,6.7,246,83,4.0,0,208,2.51,16,1756,3,264.18,3675,0,13.8,552.88,4,0.04,51,2,7.67,0.3
61,Carr Square,2021-01,2021,1,2236,94.86,2.1,0.94,1190,25.1,299,12,4.0,1,34,2.83,26,1999,5,894.01,773,0,26.7,345.71,4,0.05,69,34,30.86,15.21
73,North Pointe,2021-01,2021,1,3396,95.35,1.65,0.82,1643,10.7,176,124,3.55,1,546,4.4,18,1642,3,483.51,368,0,29.8,108.36,4,0.05,67,26,19.73,7.66
10,Ellendale,2021-01,2021,1,1385,10.61,76.32,4.33,731,13.1,96,36,4.06,0,77,2.14,12,733,2,529.24,3559,0,14.0,2569.68,4,0.01,19,3,13.72,2.17
53,Fountain Park,2021-01,2021,1,1075,89.21,3.63,1.67,712,28.4,202,127,3.56,5,795,6.26,12,1218,4,1133.02,943,0,22.4,877.21,4,0.02,34,9,31.63,8.37
22,Benton Park,2021-01,2021,1,3581,22.31,68.05,3.83,2216,16.1,356,84,4.52,1,116,1.38,12,992,3,277.02,2042,0,25.3,570.23,4,0.03,36,9,10.05,2.51
66,College Hill,2021-01,2021,1,1243,92.2,4.34,0.56,853,39.5,337,151,3.48,10,757,5.01,9,1302,2,1047.47,687,0,28.6,552.7,4,0.05,69,30,55.51,24.14
59,Jeff Vanderlou,2021-01,2021,1,4209,92.35,2.87,1.5,2319,22.8,528,352,2.98,25,2873,8.16,48,4730,6,1123.78,786,0,15.8,186.74,4,0.09,133,20,31.6,4.75
11,Clifton Heights,2021-01,2021,1,2836,3.91,86.18,3.31,1630,9.8,159,33,4.21,0,105,3.18,7,606,2,213.68,3084,0,25.2,1087.45,4,0.02,33,2,11.64,0.71
49,Visitation Park,2021-01,2021,1,924,77.6,18.07,1.52,612,21.7,133,33,3.91,0,98,2.97,5,253,2,273.81,1042,41,25.9,1127.71,4,0.0,5,1,5.41,1.08
01,Carondelet,2021-01,2021,1,7734,39.27,43.11,9.59,4368,21.5,939,221,4.19,7,508,2.3,36,3764,4,486.68,5629,193,19.4,727.83,4,0.13,181,19,23.4,2.46
52,Kingsway West,2021-01,2021,1,2604,89.59,6.99,0.61,1644,36.5,600,124,3.66,1,335,2.7,25,1875,5,720.05,1003,0,32.6,385.18,4,0.05,72,24,27.65,9.22
74,Baden,2021-01,2021,1,5465,91.8,3.92,0.84,3109,25.6,796,257,3.63,3,987,3.84,45,7297,8,1335.22,338,0,48.4,61.85,4,0.11,171,52,31.29,9.52
38,Central West End,2021-01,2021,1,16670,20.95,56.85,4.71,11598,11.3,1311,179,3.9,7,736,4.11,102,12783,13,766.83,1436,58,26.7,86.14,4,0.14,190,21,11.4,1.26
75,Riverview,2021-01,2021,1,242,69.83,28.1,0.41,130,25.4,33,1,5.0,0,0,0.0,0,0,0,0.0,327,0,26.8,1351.24,4,0.01,18,2,74.38,8.26
79,North Riverfront,2021-01,2021,1,154,32.47,57.79,9.74,5,20.0,1,6,5.0,0,0,0.0,13,2609,3,16941.56,247,0,40.3,1603.9,4,0.03,43,4,279.22,25.97
27,Shaw,2021-01,2021,1,6919,21.91,66.19,4.36,3633,10.5,381,63,4.33,0,82,1.3,19,1642,2,237.32,1778,66,20.8,256.97,4,0.04,50,4,7.23,0.58
35,Downtown,2021-01,2021,1,5442,44.21,43.29,4.94,4017,16.5,664,29,4.55,0,41,1.41,21,5581,9,1025.54,1513,72,17.8,278.02,4,0.22,277,41,50.9,7.53
45,Wydown Skinker,2021-01,2021,1,1121,2.94,73.42,3.66,737,9.5,70,3,4.67,0,1,0.33,5,590,5,526.32,1155,50,26.7,1030.33,4,0.0,1,0,0.89,0.0
42,Clayton-Tamm,2021-01,2021,1,2348,4.56,85.18,4.81,1541,13.2,204,48,3.62,2,195,4.06,13,849,3,361.58,1172,0,12.4,499.15,4,0.01,21,0,8.94,0.0
46,Skinker DeBaliviere,2021-01,2021,1,3899,29.42,48.63,4.18,2107,13.9,292,85,3.71,1,265,3.12,30,3510,8,900.23,1140,0,16.8,292.38,4,0.03,36,6,9.23,1.54
13,Southwest Garden,2021-01,2021,1,5245,13.06,73.78,4.54,3204,11.3,362,70,4.16,1,149,2.13,22,1559,3,297.24,2924,0,25.3,557.48,4,0.05,72,3,13.73,0.57
77,Covenant Blu-Grand Center,2021-01,2021,1,3041,53.07,31.08,5.2,1781,12.9,230,30,3.93,1,103,3.43,34,3807,4,1251.89,287,22,21.0,94.38,4,0.05,77,12,25.32,3.95
